feature,saliency
depth_lag_2q,0.0654163
depth_lag_1q,0.06482771
longitude,0.009229407
soil_type_encoded,0.006413799
temperature_avg,0.006006397
rainfall_lag_1m,0.0051811985
elevation_m,0.005174793
district_encoded,0.005002888
month,0.0049712043
ndvi,0.0047988514
season_encoded,0.004548254
rainfall_x_soilmoist,0.0044181356
evapotranspiration,0.004384503
rainfall_mm,0.0043809577
rainfall_rolling_6m,0.0043590604
rainfall_lag_2m,0.0043384824
temp_rainfall_ratio,0.004280815
rainfall_rolling_3m,0.004008993
humidity,0.0036825994
soil_moisture_index,0.0035883998
latitude,0.003561704
rainfall_lag_3m,0.0035445795
slope_degree,0.0033831985
rainfall_deficit,0.0031827586
cumulative_deficit,0.0030309712
